"id","accession","organism","geographic_location","source_type","isolation_notes","collection_year","isolation_source","host","public_accession","project_accession","project_name","collected_by","sequenced_by","strain","attribute_package","isolate_name_alias","ifsac_category","serotype2","host_disease","collection_date","source_type_full"
1," SAMN30954130","Escherichia coli","USA:WA","food","retail raw whole milk goat",2022,"retail raw whole milk goat",NA,NA,NA,"GenomeTrakr; LFFM-FY3","Washington State Department of Agriculture","Washington State Department of Agriculture","WSDA203",NA,NA,NA,NA,NA,"2022-09-06","food"
2," SAMN30942192","Escherichia coli","USA:WA","animal","Animal-Cattle-Heifer (cecal)",2021,"Animal-Cattle-Heifer (cecal)",NA,NA,NA,NA,"USDA-FSIS",NA,"FSIS12214981",NA,NA,NA,NA,NA,"2021","animal"
3," SAMN10354025","Escherichia coli","USA:WA","food","romaine lettuce",2020,"romaine lettuce",NA,"CFSAN087006","PRJNA357722",NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"2.3858","environmental/food/other","CFSAN087006","vegetable row crops (leafy)",NA,NA,"2002","food"
4," SAMN10353980","Escherichia coli","USA:WA","environmental","environment",2020,"environment",NA,"CFSAN087016","PRJNA357722",NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"8.2521","environmental/food/other","CFSAN087016","environmental",NA,NA,"2008","environmental"
5," SAMN10353979","Escherichia coli","USA:WA","food","lettuce leaf",2020,"lettuce leaf",NA,"CFSAN087005",NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"2.2986","environmental/food/other","CFSAN087005","vegetable row crops (leafy)",NA,NA,"2002","food"
6," SAMN09470467","Escherichia coli","USA:WA","animal","Horse, (Equine)",2000,"Horse, (Equine)",NA,"CFSAN082581","PRJNA357722",NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"0.1239","environmental/food/other","CFSAN082581","other animal",NA,NA,"2000","animal"
7," SAMN09060650","Escherichia coli","USA:WA","food","lettuce leaf",2020,"lettuce leaf",NA,"CFSAN078914","PRJNA357722",NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"3.2419","environmental/food/other","E2018003731; CFSAN078914","vegetable row crops (leafy)",NA,NA,"2003","food"
8," SAMN09060642","Escherichia coli","USA:WA","food","cantaloupe",2020,"cantaloupe",NA,"CFSAN078913","PRJNA357722",NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"3.2418","environmental/food/other","E2018003730; CFSAN078913","melon fruit",NA,NA,"2003","food"
9," SAMN09060597","Escherichia coli","USA:WA","food","romaine lettuce",2020,"romaine lettuce",NA,"CFSAN078912","PRJNA357722",NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"3.2417","environmental/food/other","E2018003729; CFSAN078912","vegetable row crops (leafy)",NA,NA,"2003","food"
10," SAMN25512722","Escherichia coli","USA:WA","food","beef",2022,"beef",NA,"CFSAN119561","PRJNA230969","GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN119561","environmental/food/other","CFSAN119561",NA,NA,NA,"2022","food"
11," SAMN13898689","Escherichia coli","USA:WA","food","ground meat",2019,"ground meat",NA,"CFSAN103621",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN103621","environmental/food/other","CFSAN103621","meat",NA,NA,"2019","food"
12," SAMN12609652","Escherichia coli","USA:WA","food","meat",2014,"meat",NA,"CFSAN095889",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095889","environmental/food/other","CFSAN095889","meat",NA,NA,"2014","food"
13," SAMN12230863","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095592",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095592","environmental/food/other","CFSAN095592","beef",NA,NA,"2013","food"
14," SAMN12230860","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095585",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095585","environmental/food/other","CFSAN095585","beef",NA,NA,"2013","food"
15," SAMN12230857","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095602",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095602","environmental/food/other","CFSAN095602","beef",NA,NA,"2013","food"
